SI;SP;SKL;SPT;SSP;SPL;SB;SPN;Akreditasi
100;100;79;92,5;82,5;100;100;100;A
76,67;85;73;66,25;64,17;81,25;72;78,75;B
96,67;92,5;94;80;93,33;98,75;95;86,25;A
93,33;82,5;81;92,5;91,67;91,25;96;90;A
78,33;82,5;91;96,25;88,33;88,75;95;82,5;A
91,67;92,5;93;90;75,83;95;86;85;A
95;85;75;70;64,17;81,25;89;90;B
81,67;80;85;83,75;70;86,25;78;77,5;B
75;60;68;66,25;47,5;50;77;71,25;C
81,67;82,5;89;96,25;90;95;92;90;A
86,67;82,5;76;82,5;74,17;83,75;91;82,5;B
91,67;97,5;73;81,25;65;90;89;97,5;B
75;80;60;76,25;67,5;85;67;80;B
96,67;97,5;96;91,25;96,67;100;95;98,75;A
96,67;97,5;89;86,25;96,67;100;100;97,5;A
95;92,5;95;86,25;89,17;98,75;95;92,5;A
98,33;95;92;88,75;83,33;95;97;92,5;A
100;75;93;95;90;92,5;97;90;A
91,67;85;96;83,75;83,33;100;100;96,25;A
83,33;90;97;92,5;98,33;95;90;82,5;A
83,33;87,5;76;78,75;85;95;90;85;B
91,67;87,5;66;81,25;85;95;79;92,5;B
91,67;85;80;73,75;85;92,5;78;91,25;B
85;85;89;90;93,33;96,25;90;92,5;A
85;87,5;95;77,5;92,5;90;85;87,5;A
96,67;92,5;64;87,5;83,33;93,75;81;91,25;A
96,67;80;75;83,75;81,67;87,5;87;93,75;A
73,33;82,5;77;85;76,67;90;91;80;B
88,33;80;70;71,25;65;78,75;87;83,75;B
86,67;80;76;72,5;77,5;86,25;68;76,25;B
85;80;71;76,25;64,17;83,75;74;80;B
83,33;80;54;70;70;68,75;90;88,75;B
63,33;67,5;69;78,75;74,17;82,5;94;76,25;B
70;80;56;66,25;75,83;75;89;71,25;B
81,67;75;62;61,25;65,83;90;67;86,25;B
66,67;77,5;62;61,25;56,67;68,75;48;90;C
55;62,5;68;70;60,83;66,25;63;71,25;C
50;57,5;56;66,25;63,33;63,75;60;66,25;C
98,33;95;97;93,75;99,17;100;97;96,25;A
100;95;97;95;96,67;100;95;95;A
100;97,5;91;88,75;94,17;97,5;94;95;A
91,67;95;94;87,5;90,83;97,5;98;91,25;A
96,67;77,5;84;96,25;93,33;86,25;88;95;A
95;95;77;82,5;88,33;95;93;87,5;A
96,67;90;89;88,75;80;91,25;93;83,75;A
85;90;78;83,75;87,5;97,5;98;81,25;A
93,33;85;83;86,25;80;87,5;93;91,25;A
96,67;87,5;85;78,75;84,17;92,5;86;78,75;A
85;85;86;75;77,5;80;77;75;B
93,33;97,5;99;88,75;93,33;95;98;93,75;A
93,33;97,5;89;76,25;83,33;87,5;90;80;A
71,67;85;64;93,75;89,17;87,5;86;80;B
