SI;SP;SKL;SPT;SSP;SPL;SB;SPN;Akreditasi
968.333.333.333.333;97.125;98;95;983.333.333.333.333;97.5;947.916.666.666.667;94.831.013.916.501;1
968.333.333.333.333;97.125;79;87.5;841.666.666.666.667;86.25;791.666.666.666.667;93.513.916.500.994;1
95.45;94.35;96;86.25;933.333.333.333.333;97.5;937.500.000.000.001;93.513.916.500.994;1
857.666.666.666.667;69.375;91;73.75;758.333.333.333.333;96.25;96.875;61.903.578.528.827;2
982.166.666.666.667;83.25;950.000.000.000.001;90;983.333.333.333.333;96.25;760.416.666.666.667;961.481.113.320.079;1
99.6;83.25;97;82.5;941.666.666.666.667;98.75;93.75;93.513.916.500.994;1
940.666.666.666.667;77.7;98;93.75;966.666.666.666.667;100;979.166.666.666.667;100.099.403.578.529;1
87.15;94.35;90;70;90;91.25;854.166.666.666.667;974.652.087.475.149;1
899.166.666.666.667;99.9;87;93.75;966.666.666.666.667;98.75;979.166.666.666.667;974.652.087.475.149;1
91.3;97.125;91;93.75;97.5;100;100;987.823.061.630.219;1
83;58.275;83;62.5;766.666.666.666.667;87.5;968.750.000.000.001;856.113.320.079.523;2
95.45;80.475;79;67.5;808.333.333.333.333;98.75;916.666.666.666.667;974.652.087.475.149;1
968.333.333.333.333;94.35;87;96.25;97.5;93.75;947.916.666.666.667;908.797.216.699.801;1
99.6;99.9;86;85;933.333.333.333.333;92.5;895.833.333.333.334;987.823.061.630.219;1
99.6;94.35;100;87.5;92.5;98.75;958.333.333.333.334;96.148.111.332.008;1
968.333.333.333.333;94.35;100;86.25;991.666.666.666.667;100;979.166.666.666.667;987.823.061.630.219;1
968.333.333.333.333;94.35;98;95;991.666.666.666.667;98.75;947.916.666.666.667;921.968.190.854.871;1
99.6;94.35;100;96.25;983.333.333.333.333;100;958.333.333.333.334;987.823.061.630.219;1
99.6;97.125;95;93.75;933.333.333.333.333;98.75;947.916.666.666.667;908.797.216.699.801;1
91.3;91.575;78;70;783.333.333.333.333;97.5;100;895.626.242.544.732;1
982.166.666.666.667;91.575;88;95;991.666.666.666.667;97.5;100;908.797.216.699.801;1
982.166.666.666.667;88.8;860.000.000.000.001;87.5;891.666.666.666.667;91.25;979.166.666.666.667;93.513.916.500.994;1
95.45;94.35;94;93.75;966.666.666.666.667;97.5;937.500.000.000.001;100.099.403.578.529;1
968.333.333.333.333;91.575;96;88.75;933.333.333.333.333;92.5;968.750.000.000.001;94.831.013.916.501;1
982.166.666.666.667;97.125;97;93.75;97.5;98.75;916.666.666.666.667;921.968.190.854.871;1
99.6;94.35;100;98.75;983.333.333.333.333;100;100;974.652.087.475.149;1
608.666.666.666.667;55.5;57;61.25;716.666.666.666.667;61.25;489.583.333.333.333;566.351.888.667.992;3
843.833.333.333.333;99.9;70;75;77.5;78.75;864.583.333.333.334;829.771.371.769.384;2
982.166.666.666.667;97.125;97;95;100;93.75;989.583.333.333.334;987.823.061.630.219;1
968.333.333.333.333;88.8;87;87.5;90;97.5;989.583.333.333.334;974.652.087.475.149;1
968.333.333.333.333;97.125;95;97.5;991.666.666.666.667;96.25;100;94.831.013.916.501;1
802.333.333.333.333;80.475;84;78.75;991.666.666.666.667;98.75;96.875;987.823.061.630.219;1
899.166.666.666.667;80.475;84;86.25;80;86.25;84.375;579.522.862.823.062;2
99.6;99.9;97;87.5;966.666.666.666.667;100;989.583.333.333.334;94.831.013.916.501;1
99.6;94.35;99;97.5;100;98.75;989.583.333.333.334;100.099.403.578.529;1
